name,foodon_id,big9,mapping_method
goat cheese,FOODON_03303655,milk,curated_class
ricotta,FOODON_03302908,milk,curated_class
cottage cheese,FOODON_03301605,milk,label_match
white rice,FOODON_00003787,,label_match
brown rice,,,unmapped
arborio rice,FOODON_00002575,,label_match
pasta,FOODON_03306347,wheat,label_match
egg noodle,FOODON_03301006,eggs;wheat,label_match
couscous,FOODON_03303207,wheat,curated_class
quinoa,FOODON_03310193,,label_match
oat,FOODON_00003429,,label_match
barley,FOODON_00003108,,label_match
bulgur,FOODON_00003143,wheat,label_match
farro,,wheat,unmapped+curated_allergen
cornmeal,FOODON_03310257,,label_match
breadcrumb,,wheat,unmapped+curated_allergen
bread,FOODON_03000288,wheat,label_match+curated_allergen
flour tortilla,FOODON_03307668,wheat,curated_class+curated_allergen
corn tortilla,,,unmapped
cracker,FOODON_00002711,wheat,label_match+curated_allergen
popcorn,,,unmapped
olive oil,FOODON_03301826,,label_match
vegetable oil,FOODON_03305263,,label_match
sesame oil,FOODON_03304152,sesame,label_match+curated_allergen
coconut oil,FOODON_03310046,tree nuts,label_match
peanut oil,FOODON_03309857,peanuts,label_match
salt,CHEBI_24866,,label_match
black pepper,FOODON_03000242,,label_match
cayenne pepper,FOODON_00003798,,label_match
red pepper flake,,,unmapped
paprika,,,unmapped
smoked paprika,,,unmapped
chili powder,FOODON_03302030,,label_match
cumin,FOODON_03311872,,label_match
coriander,FOODON_03310370,,label_match
turmeric,FOODON_00003753,,label_match
curry powder,FOODON_03301842,,label_match
garlic powder,FOODON_03301844,,label_match
onion powder,FOODON_03301845,,label_match
oregano,FOODON_03301482,,label_match
bay leaf,FOODON_00003802,,label_match
cinnamon,FOODON_03301175,,label_match
nutmeg,FOODON_03301528,,label_match
clove,BTO_0000262,,label_match
allspice,FOODON_00002667,,label_match
ground ginger,FOODON_03310490,,label_match
cardamom,FOODON_00003792,,label_match
fennel seed,FOODON_00004266,,label_match
mustard powder,FOODON_03306359,,label_match
italian seasoning,,,unmapped
cajun seasoning,,,unmapped
dried thyme,,,unmapped
dried basil,,,unmapped
ketchup,FOODON_03301460,,alias_match
mayonnaise,FOODON_03301440,eggs,label_match+curated_allergen
dijon mustard,,,unmapped
yellow mustard,NCBITaxon_3728,,label_match
soy sauce,FOODON_03301115,wheat;soybeans,label_match+curated_allergen
